ID,Speaker,utterance,annotation,list-ID
2,CHI,www . [media],"[NULL,NULL,NULL]",1
2,CHI,www . [media],"[NULL,NULL,NULL]",2
3,FAT,montre à la caméra comme il est beau ton jean ! [media],"[NULL,NULL,NULL]",1
3,FAT,montre à la caméra comme il est beau ton jean ! [media],"[NULL,NULL,NULL]",2
4,INV,"fais voir , oh qu'est-ce qu'il est beau ! [media]","[NULL,NULL,NULL]",1
4,INV,"fais voir , oh qu'est-ce qu'il est beau ! [media]","[NULL,NULL,NULL]",2
5,FAT,"tiens tu fais le tour , tu fais un tour sur toi même ? [media]","[NULL,NULL,NULL]",1
5,FAT,"tiens tu fais le tour , tu fais un tour sur toi même ? [media]","[NULL,NULL,NULL]",2
6,FAT,regarde fais le tour Adrien ! [media],"[NULL,NULL,NULL]",1
6,FAT,regarde fais le tour Adrien ! [media],"[NULL,NULL,NULL]",2
7,INV,wouah ! [media],"[NULL,NULL,NULL]",1
7,INV,wouah ! [media],"[NULL,NULL,NULL]",2
8,FAT,fais un tour ! [media],"[NULL,NULL,NULL]",1
8,FAT,fais un tour ! [media],"[NULL,NULL,NULL]",2
9,MOT,"non mais tu fais le tour , tu fais un tour , tu fais pas le tour de la maison ! [media]","[NULL,NULL,NULL]",1
9,MOT,"non mais tu fais le tour , tu fais un tour , tu fais pas le tour de la maison ! [media]","[NULL,NULL,NULL]",2
10,MOT,allez maintenant tu peux l'enlever ! [media],"[NULL,NULL,NULL]",1
10,MOT,allez maintenant tu peux l'enlever ! [media],"[NULL,NULL,NULL]",2
11,CHI,non ! [media],"[NULL,NULL,NULL]",1
11,CHI,non ! [media],"[NULL,NULL,NULL]",2
12,FAT,allez maintenant on va se doucher ! [media],"[NULL,NULL,NULL]",1
12,FAT,allez maintenant on va se doucher ! [media],"[NULL,NULL,NULL]",2
13,CHI,non j'ai pas envie ! [media],"[NULL,NULL,NULL]",1
13,CHI,non j'ai pas envie ! [media],"[NULL,NULL,NULL]",2
14,FAT,pourquoi tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",1
14,FAT,pourquoi tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",2
15,CHI,non je pas enlever ! [media],"[NULL,NULL,NULL]",1
15,CHI,non je pas enlever ! [media],"[NULL,NULL,NULL]",2
16,FAT,non tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",1
16,FAT,non tu veux pas l'enlever ? [media],"[NULL,NULL,NULL]",2
17,CHI,non ! [media],"[NULL,NULL,NULL]",1
17,CHI,non ! [media],"[NULL,NULL,NULL]",2
18,FAT,pourquoi ? [media],"[NULL,NULL,NULL]",1
18,FAT,pourquoi ? [media],"[NULL,NULL,NULL]",2
19,CHI,je veux pas enlever à maison ! [media],"[NULL,NULL,NULL]",1
19,CHI,je veux pas enlever à maison ! [media],"[NULL,NULL,NULL]",2
20,FAT,tu veux pas l'enlever à la maison ? [media],"[NULL,NULL,NULL]",1
20,FAT,tu veux pas l'enlever à la maison ? [media],"[NULL,NULL,NULL]",2
21,CHI,non ! [media],"[NULL,NULL,NULL]",1
21,CHI,non ! [media],"[NULL,NULL,NULL]",2
22,FAT,alors écoute Adrien . [media],"[NULL,NULL,NULL]",1
22,FAT,alors écoute Adrien . [media],"[NULL,NULL,NULL]",2
23,CHI,t'es cassé jean ! [media],"[NULL,NULL,NULL]",1
23,CHI,t'es cassé jean ! [media],"[NULL,NULL,NULL]",2
24,FAT,il est cassé le jean ? [media],"[NULL,NULL,NULL]",1
24,FAT,il est cassé le jean ? [media],"[NULL,NULL,NULL]",2
25,MOT,il est cassé le jean de Naomi ? [media],"[NULL,NULL,NULL]",1
25,MOT,il est cassé le jean de Naomi ? [media],"[NULL,NULL,NULL]",2
26,INV,non c'est fait exprès Adrien ! [media],"[NULL,NULL,NULL]",1
26,INV,non c'est fait exprès Adrien ! [media],"[NULL,NULL,NULL]",2
27,MOT,tu vois elle les achète cassés elle ! [media],"[NULL,NULL,NULL]",1
27,MOT,tu vois elle les achète cassés elle ! [media],"[NULL,NULL,NULL]",2
28,MOT,"l'autre jour on en a vu des comme ça , il fait ah non ça c'est déchiré , c'est cassé ! [media]","[NULL,NULL,NULL]",1
28,MOT,"l'autre jour on en a vu des comme ça , il fait ah non ça c'est déchiré , c'est cassé ! [media]","[NULL,NULL,NULL]",2
29,CHI,oh x veux ça papa ! [media],"[NULL,NULL,NULL]",1
29,CHI,oh x veux ça papa ! [media],"[NULL,NULL,NULL]",2
30,FAT,c'est un mi un micro ! [media],"[NULL,NULL,NULL]",1
30,FAT,c'est un mi un micro ! [media],"[NULL,NULL,NULL]",2
31,CHI,moi je mets pas moi je mets pas ça ! [media],"[NULL,NULL,NULL]",1
31,CHI,moi je mets pas moi je mets pas ça ! [media],"[NULL,NULL,NULL]",2
32,INV,est-ce que tu peux le descendre un peu plus ? [media],"[NULL,NULL,NULL]",1
32,INV,est-ce que tu peux le descendre un peu plus ? [media],"[NULL,NULL,NULL]",2
33,INV,"pour qu'il soit plus près de , au niveau de sa bouche ? [media]","[NULL,NULL,NULL]",1
33,INV,"pour qu'il soit plus près de , au niveau de sa bouche ? [media]","[NULL,NULL,NULL]",2
